Header:
00000000: 6C 6F 6F 70 65 72 00 FF  02 00 56 00 88 02 01 03  looper....V.....
00000010: 60 04 61 04 62 04 63 04  64 04 65 04 66 04 67 04  `.a.b.c.d.e.f.g.
None

Base Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Overdub Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Total
Unique values:  427

Base               : Overdub
0.43925234 0x051C -> 0x0000051C
0.44158879 0x051D -> 0x0000051D
0.44392523 0x051E -> 0x0000051E
0.44626168 0x051F -> 0x0000051F
0.44859813 0x0520 -> 0x00000520
0.45093458 0x072D -> 0x0000072D
0.45327103 0x072F -> 0x0000072F
0.45560748 0x0730 -> 0x00000730
0.45794393 0x0731 -> 0x00000731
0.46028037 0x0732 -> 0x00000732
0.46261682 0x0733 -> 0x00000733
0.46495327 0x0734 -> 0x00000734
0.46728972 0x0735 -> 0x00000735
0.46962617 0x0736 -> 0x00000736
0.47196262 0x0737 -> 0x00000737
0.47429907 0x0738 -> 0x00000738
0.47663551 0x0739 -> 0x00000739
0.47897196 0x073A -> 0x0000073A
0.48130841 0x073B -> 0x0000073B
0.48364486 0x073C -> 0x0000073C
0.48598131 0x073D -> 0x0000073D
0.48831776 0x073E -> 0x0000073E
0.49065421 0x073F -> 0x0000073F
0.49299065 0x0740 -> 0x00000740
0.49532710 0x0741 -> 0x00000741
0.49766355 0x0742 -> 0x00000742
0.50000000 0x0743 -> 0x00000743
0.50233645 0x0744 -> 0x00000744
0.50467290 0x0745 -> 0x00000745
0.50700935 0x0746 -> 0x00000746
0.50934579 0x0747 -> 0x00000747
0.51168224 0x0748 -> 0x00000748
0.51401869 0x0749 -> 0x00000749
0.51635514 0x074A -> 0x0000074A
0.51869159 0x074B -> 0x0000074B
0.52102804 0x074C -> 0x0000074C
0.52336449 0x074D -> 0x0000074D
0.52570093 0x074E -> 0x0000074E
0.52803738 0x074F -> 0x0000074F
0.53037383 0x0750 -> 0x00000750
0.53271028 0x0751 -> 0x00000751
0.53504673 0x0752 -> 0x00000752
0.53738318 0x0753 -> 0x00000753
0.53971963 0x0754 -> 0x00000754
0.54205607 0x0755 -> 0x00000755
0.54439252 0x0756 -> 0x00000756
0.54672897 0x0757 -> 0x00000757
0.54906542 0x0758 -> 0x00000758
0.55140187 0x0759 -> 0x00000759
0.55373832 0x075A -> 0x0000075A
0.55607477 0x075B -> 0x0000075B
0.55841121 0x075C -> 0x0000075C
0.56074766 0x075D -> 0x0000075D
0.56308411 0x075E -> 0x0000075E
