Fractional time	Rough Address	'Time’ in memory		LTC Time
0.028380634390651	1BC193FA	1615.290563	1615.329604	00:00:17:23
0.028380634390651	1BC1BFF7	1615.329625	1615.368667	00:00:17:24
0.030050083472454	1BC1EBF5	1615.368688	1615.407729	00:00:18:00
0.030050083472454	1BC217F2	1615.40775	1615.446792	00:00:18:01
0.030050083472454	1BC243EF	1615.446813	1615.485854	00:00:18:02
0.030050083472454	1BC26FEC	1615.485875	1615.524917	00:00:18:03
0.030050083472454	1BC29BEA	1615.524938	1615.563979	00:00:18:04
0.030050083472454	1BC2C7E7	1615.564	1615.603042	00:00:18:05
0.030050083472454	1BC2F3E5	1615.603063	1615.642104	00:00:18:06
0.030050083472454	1BC31FE2	1615.642125	1615.681167	00:00:18:07
0.030050083472454	1BC34BDF	1615.681188	1615.720229	00:00:18:08
0.030050083472454	1BC377DC	1615.72025	1615.759333	00:00:18:09
0.030050083472454	1BC3A3E6	1615.759354	1615.798396	00:00:18:10
0.030050083472454	1BC3CFE3	1615.798417	1615.837458	00:00:18:11
0.030050083472454	1BC3FBE0	1615.837479	1615.876521	00:00:18:12
0.030050083472454	1BC427DE	1615.876542	1615.915583	00:00:18:13
0.030050083472454	1BC453DB	1615.915604	1615.954646	00:00:18:14
0.030050083472454	1BC47FD8	1615.954667	1615.993708	00:00:18:15
0.030050083472454	1BC4ABD5	1615.993729	1616.032771	00:00:18:16
0.030050083472454	1BC4D7D3	1616.032792	1616.071833	00:00:18:17
0.030050083472454	1BC503D0	1616.071854	1616.110896	00:00:18:18
0.030050083472454	1BC52FCD	1616.110917	1616.149958	00:00:18:19
0.030050083472454	1BC55BCB	1616.149979	1616.189021	00:00:18:20
0.030050083472454	1BC587C8	1616.189042	1616.228083	00:00:18:21
0.030050083472454	1BC5B3C5	1616.228104	1616.267146	00:00:18:22
0.030050083472454	1BC5DFC3	1616.267167	1616.306208	00:00:18:23
0.030050083472454	1BC60BC0	1616.306229	1616.345271	00:00:18:24
0.031719532554257	1BC637BD	1616.345292	1616.384333	00:00:19:00
0.031719532554257	1BC663BA	1616.384354	1616.423396	00:00:19:01
0.031719532554257	1BC68FB8	1616.423417	1616.462458	00:00:19:02
0.031719532554257	1BC6BBB5	1616.462479	1616.501521	00:00:19:03
0.031719532554257	1BC6E7B2	1616.501542	1616.540583	00:00:19:04
0.031719532554257	1BC713B0	1616.540604	1616.579646	00:00:19:05
0.031719532554257	1BC73FAD	1616.579667	1616.618688	00:00:19:06
0.031719532554257	1BC76BA4	1616.618708	1616.65775	00:00:19:07
0.031719532554257	1BC797A2	1616.657771	1616.696813	00:00:19:08
0.031719532554257	1BC7C39F	1616.696833	1616.735875	00:00:19:09
0.031719532554257	1BC7EF9C	1616.735896	1616.774938	00:00:19:10
0.031719532554257	1BC81B99	1616.774958	1616.814	00:00:19:11
0.031719532554257	1BC84797	1616.814021	1616.853063	00:00:19:12
0.031719532554257	1BC87394	1616.853083	1616.892125	00:00:19:13
0.031719532554257	1BC89F91	1616.892146	1616.931188	00:00:19:14
0.031719532554257	1BC8CB8F	1616.931208	1616.97025	00:00:19:15
0.031719532554257	1BC8F78C	1616.970271	1617.009313	00:00:19:16
0.031719532554257	1BC92389	1617.009333	1617.048375	00:00:19:17
0.031719532554257	1BC94F87	1617.048396	1617.087438	00:00:19:18
0.031719532554257	1BC97B84	1617.087458	1617.1265	00:00:19:19
0.031719532554257	1BC9A781	1617.126521	1617.165563	00:00:19:20
0.031719532554257	1BC9D37E	1617.165583	1617.204625	00:00:19:21
0.031719532554257	1BC9FF7C	1617.204646	1617.243688	00:00:19:22
0.031719532554257	1BCA2B79	1617.243708	1617.28275	00:00:19:23
0.031719532554257	1BCA5777	1617.282771	1617.321854	00:00:19:24
0.03338898163606	1BCA8380	1617.321875	1617.360917	00:00:20:00
